loggingTime,loggingSample,identifierForVendor,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,label
1537844486.438598,86,0,2587.043544125,-0.07830810546875,-0.4935150146484375,-1.304397583007812,2587.039502125,-0.423042073894651,-0.8172919142961282,-0.1803948090748064,0
1537844486.444723,87,0,2587.053332125,-0.074462890625,-0.478271484375,-1.283004760742188,2587.059537125,0.06479897037937199,-0.8875993670742202,-0.1791276770281467,0
1537844486.445316,88,0,2587.063146125,-0.0738525390625,-0.462677001953125,-1.260726928710938,,,,,0
1537844486.445899,89,0,2587.072924125,-0.0747833251953125,-0.444427490234375,-1.228973388671875,2587.069546125,0.3247852781083955,-0.8772684325735848,-0.1935875764828409,0
1537844486.446362,90,0,2587.082734125,-0.0724334716796875,-0.43011474609375,-1.196441650390625,2587.079554125,0.5486964057112056,-0.823567387088791,-0.225790520384079,0
1537844486.446725,91,0,2587.092550125,-0.071502685546875,-0.423553466796875,-1.151275634765625,2587.089558125,0.7278078374567027,-0.6765502422720567,-0.2676772506410633,0
1537844486.491394,92,0,2587.102351125,-0.06103515625,-0.415771484375,-1.0924072265625,2587.099549125,0.8512544087295817,-0.4402972272294924,-0.3012155035128672,0
1537844486.497858,93,0,2587.112148125,-0.0443878173828125,-0.401702880859375,-1.033660888671875,,,,,0
1537844486.528298,94,0,2587.121935125,-0.0367279052734375,-0.4027099609375,-0.9987945556640625,2587.119569125,0.9738125494628103,-0.02648380546029298,-0.293477422649533,0
1537844486.528951,95,0,2587.131752125,-0.0126800537109375,-0.4186859130859375,-0.9918060302734375,2587.129566125,0.95699735034005,0.0429834199938789,-0.2377015083594584,0
1537844486.529359,96,0,2587.141545125,0.01641845703125,-0.4344024658203125,-1.00531005859375,2587.139596125,0.8910921028438591,0.01613822357366217,-0.1571997412446522,0
1537844486.529964,97,0,2587.151349125,0.057464599609375,-0.4392547607421875,-1.027633666992188,2587.149600125,0.806530346647227,-0.1381948910736288,-0.09617580171046756,0
1537844486.530298,98,0,2587.161150125,0.080657958984375,-0.4326019287109375,-1.0555419921875,,,,,0
1537844486.530802,99,0,2587.170949125,0.08270263671875,-0.420166015625,-1.071792602539062,2587.179618125,0.7660811907466676,-0.7933905761448851,-0.157729443985469,0
1537844486.534599,100,0,2587.180748125,0.066986083984375,-0.4027862548828125,-1.057022094726562,,,,,0
1537844486.543275,101,0,2587.190552125,0.0362091064453125,-0.378570556640625,-1.004867553710938,2587.189611125,0.8007411670696128,-0.8414976517599675,-0.1964352946364626,0
1537844486.549874,102,0,2587.200353125,-0.0013275146484375,-0.3581695556640625,-0.9419708251953125,,,,,0
1537844486.606657,103,0,2587.210153125,-0.0242919921875,-0.338653564453125,-0.885101318359375,2587.209617125,0.8990826513785328,-0.9283822170593665,-0.2970599069479076,0
1537844486.607667,104,0,2587.219955125,-0.0378570556640625,-0.3223114013671875,-0.831695556640625,,,,,0
1537844486.642328,105,0,2587.229756125,-0.0473175048828125,-0.3142242431640625,-0.7809295654296875,2587.219634125,0.9167575189011707,-0.9553259504399162,-0.343557101684037,0
1537844486.726633,106,0,2587.239557125,-0.0500946044921875,-0.3110809326171875,-0.732269287109375,2587.239646125,0.8846440572125592,-0.8902449513011048,-0.4264162989957814,0
1537844486.743831,107,0,2587.249346125,-0.0573883056640625,-0.3092498779296875,-0.682281494140625,,,,,0
1537844486.772133,108,0,2587.259159125,-0.0690765380859375,-0.317535400390625,-0.641357421875,2587.249655125,0.8345814224090317,-0.8139208849883059,-0.4381573772936137,0
1537844486.843977,109,0,2587.268959125,-0.07208251953125,-0.323974609375,-0.602874755859375,2587.269675125,0.6953556216774333,-0.5558227584721487,-0.4180824689965964,0
1537844486.874838,110,0,2587.278734125,-0.0788421630859375,-0.328704833984375,-0.5744781494140625,2587.279693125,0.6226380081128197,-0.4051147387006735,-0.4188942004968526,0
1537844486.909113,111,0,2587.288562125,-0.0876312255859375,-0.3313140869140625,-0.5453643798828125,,,,,0
1537844486.943888,112,0,2587.298357125,-0.0923004150390625,-0.329345703125,-0.524749755859375,2587.299704125,0.4842660168267006,-0.1020552624490355,-0.4747966149387058,0
1537844486.975635,113,0,2587.308153125,-0.101165771484375,-0.3291015625,-0.5040435791015625,,,,,0
1537844487.009328,114,0,2587.317967125,-0.102813720703125,-0.328460693359375,-0.487945556640625,2587.309706125,0.4130930366943329,0.02818556539685362,-0.5105993536854041,0
1537844487.075176,115,0,2587.327746125,-0.1023101806640625,-0.327301025390625,-0.473358154296875,2587.329725125,0.2481703946045599,0.1849983493351173,-0.5475626980351589,0
